===============================================
MyPinTool analysis results: 
Number of instructions: 7478946
Number of basic blocks: 1927913
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
                   .plt libpthread.so.0       7f6671dce540           13          108
                  _init libpthread.so.0       7f6671dce530            1            4
                  .fini   libgcc_s.so.1       7f6671ff9668            1            3
   __cpu_indicator_init   libgcc_s.so.1       7f6671fea150            1           81
                  .text   libgcc_s.so.1       7f6671fe9fd0            0           93
                   .plt   libgcc_s.so.1       7f6671fe9d00            1            5
                  _init   libgcc_s.so.1       7f6671fe9cd8            1            6
                  .fini    libgomp.so.1       7f6672209350            1            3
     omp_get_thread_num    libgomp.so.1       7f6672206010           18           72
    omp_get_num_threads    libgomp.so.1       7f6672205fe0            7           49
      GOMP_parallel_end    libgomp.so.1       7f6672205f90           16           48
    GOMP_parallel_start    libgomp.so.1       7f6672205f60           16          304
   GOMP_loop_end_nowait    libgomp.so.1       7f6672204da0            8            8
 GOMP_loop_dynamic_next    libgomp.so.1       7f6672204a10            8            8
GOMP_loop_dynamic_start    libgomp.so.1       7f66722041c0            8          576
    omp_get_max_threads    libgomp.so.1       7f6672203440            2           18
    omp_set_num_threads    libgomp.so.1       7f6672203210            2           28
                  .text    libgomp.so.1       7f6672202030            0          427
                   .plt    libgomp.so.1       7f6672201d90           14          143
                  _init    libgomp.so.1       7f6672201d68            1            6
                  _fini       libm.so.6       7f667247fc38            1            3
           __ceil_sse41       libm.so.6       7f6672427440            2            4
            frame_dummy       libm.so.6       7f6672412c30            1            3
  __do_global_dtors_aux       libm.so.6       7f6672412bf0            1           12
     register_tm_clones       libm.so.6       7f6672412bb0            1           13
   deregister_tm_clones       libm.so.6       7f6672412b80            1            9
                   .plt       libm.so.6       7f6672412680            1            6
                  _init       libm.so.6       7f6672412660            1            6
                  .fini  libstdc++.so.6       7f66727f8c1c            1            3
_ZNSt14error_categoryC2Ev  libstdc++.so.6       7f66727ebc80            3           12
_ZNSt14error_categoryD1Ev  libstdc++.so.6       7f66727ebaf0            3           12
_ZNKSt8__detail20_Prime_rehash_policy11_M_next_bktEm  libstdc++.so.6       7f66727eb2f0            2           50
 _ZSt15future_categoryv  libstdc++.so.6       7f66727eb0f0            1           21
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f66727dce10            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7f66727dcdc0            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7f66727dcc80            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f66727dbb80            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7f66727dbb30            4           76
_ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale  libstdc++.so.6       7f66727daf20            4           76
  _ZNSt8messagesIwEC1Em  libstdc++.so.6       7f66727daa90            1           19
_ZNSt11__timepunctIwEC2EPSt17__timepunct_cacheIwEm  libstdc++.so.6       7f66727da2c0            1           22
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv  libstdc++.so.6       7f66727d0b70            3           42
          _ZNSo5flushEv  libstdc++.so.6       7f66727ce930            3           42
_ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv  libstdc++.so.6       7f66727ce020            3            6
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv  libstdc++.so.6       7f66727ce010            3            6
_ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f66727c2310            4           84
_ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7f66727c22c0            4           84
_ZSt9has_facetISt5ctypeIcEEbRKSt6locale  libstdc++.so.6       7f66727c2180            4           84
_ZSt9use_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f66727c1570            4           76
_ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale  libstdc++.so.6       7f66727c1520            4           76
_ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale  libstdc++.so.6       7f66727c0700            4           76
  _ZNSt8messagesIcEC1Em  libstdc++.so.6       7f66727c0270            1           19
_ZNSt11__timepunctIcEC2EPSt17__timepunct_cacheIcEm  libstdc++.so.6       7f66727bfaa0            1           22
_ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E  libstdc++.so.6       7f66727b7e40            4           88
_ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f66727b7d00            4          120
_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E  libstdc++.so.6       7f66727b76e0            4           88
_ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale  libstdc++.so.6       7f66727b75a0            4          120
_ZNSt6locale5facet18_S_create_c_localeERP15__locale_structPKcS2_  libstdc++.so.6       7f66727b6df0            1            9
